Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7934705464868701,0.6292834890965732,0.5401069518716578,0.581294964028777
Random Forest,0.7955997161107168,0.656934306569343,0.48128342245989303,0.5555555555555556
